id,mf,yo,we,jd
280,3.904977376,5.63190184,4.108280255,1.456521739
281,3.894021739,5.611111111,4.096153846,1.447963801
282,3.892523364,5.590909091,4.092417062,1.44
283,3.89244186,5.566037736,4.090517241,1.4375
284,3.873737374,5.547945205,4.082857143,1.4375
285,3.858823529,5.538461538,4.077464789,1.433070866
286,3.849056604,5.506097561,4.05952381,1.432432432
287,3.827433628,5.5,4.056521739,1.430555556
288,3.816425121,5.5,4.013114754,1.428571429
289,3.802359882,5.491666667,4.010273973,1.421052632
290,3.789029536,5.476190476,4.004975124,1.416666667
291,3.786046512,5.459770115,4.003184713,1.414285714
292,3.785714286,5.445454545,4,1.41322314
293,3.779859485,5.442105263,3.980952381,1.413043478
294,3.775510204,5.418604651,3.939814815,1.409395973
295,3.773234201,5.402439024,3.934497817,1.409090909
296,3.766016713,5.358208955,3.919087137,1.407407407
297,3.755980861,5.35,3.915697674,1.404255319
298,3.75,5.333333333,3.895890411,1.400749064
299,3.743764172,5.320754717,3.861111111,1.397849462
300,3.742138365,5.300884956,3.841628959,1.394904459
301,3.742120344,5.3,3.841201717,1.394736842
302,3.740740741,5.276119403,3.836424958,1.392265193
303,3.735973597,5.270588235,3.830258303,1.390243902
304,3.733532934,5.260162602,3.826797386,1.388888889
305,3.732217573,5.255319149,3.825396825,1.388888889
306,3.732142857,5.221238938,3.816666667,1.382716049
307,3.715686275,5.2,3.781990521,1.38121547
308,3.696035242,5.168421053,3.780701754,1.379562044
309,3.658436214,5.156069364,3.735159817,1.378378378
310,3.650485437,5.140625,3.732718894,1.373390558
311,3.647266314,5.134146341,3.731617647,1.364583333
312,3.645933014,5.131782946,3.726937269,1.363636364
313,3.63681592,5.128,3.720833333,1.363636364
314,3.63622291,5.101190476,3.720430108,1.362831858
315,3.625899281,5.099009901,3.70790378,1.361445783
316,3.625570776,5.081300813,3.705454545,1.361111111
317,3.614457831,5.063157895,3.694148936,1.356321839
318,3.604347826,4.976190476,3.693333333,1.355140187
319,3.603686636,4.947368421,3.6875,1.354545455
320,3.591383812,4.942528736,3.68161435,1.35042735
321,3.589090909,4.942307692,3.657487091,1.35
322,3.570446735,4.940594059,3.63559322,1.349056604
323,3.564356436,4.936170213,3.604060914,1.348314607
324,3.557093426,4.926829268,3.6,1.348214286
325,3.554317549,4.909090909,3.565656566,1.347058824
326,3.532786885,4.87804878,3.563139932,1.345794393
327,3.532019704,4.864197531,3.552560647,1.345323741
328,3.525641026,4.834080717,3.537549407,1.342857143
329,3.525179856,4.823529412,3.534351145,1.340425532
330,3.51396648,4.811688312,3.526785714,1.340425532
331,3.510948905,4.745283019,3.526515152,1.340136054
332,3.502762431,4.723684211,3.502222222,1.338709677
333,3.482837529,4.714285714,3.498327759,1.338129496
334,3.478036176,4.709480122,3.498233216,1.337078652
335,3.452380952,4.706666667,3.468181818,1.333333333
336,3.451612903,4.692307692,3.459770115,1.333333333
337,3.450892857,4.669064748,3.449838188,1.333333333
338,3.440816327,4.647302905,3.444162437,1.333333333
339,3.434042553,4.627906977,3.441767068,1.330708661
340,3.433436533,4.626984127,3.44017094,1.32967033
341,3.412681913,4.623931624,3.436213992,1.328671329
342,3.4125,4.612612613,3.434782609,1.325
343,3.410404624,4.601694915,3.428143713,1.322834646
344,3.386831276,4.597938144,3.41796875,1.32
345,3.384937238,4.595,3.406015038,1.318435754
346,3.382450331,4.59,3.40562249,1.311827957
347,3.379844961,4.582524272,3.402266289,1.311557789
348,3.379061372,4.551724138,3.401847575,1.31
349,3.374501992,4.517241379,3.400722022,1.309734513
350,3.367588933,4.508333333,3.387234043,1.308108108
351,3.363112392,4.488505747,3.378666667,1.307017544
352,3.359447005,4.487804878,3.366935484,1.305555556
353,3.350877193,4.481283422,3.357758621,1.305555556
354,3.349367089,4.477876106,3.346613546,1.305343511
355,3.346733668,4.477777778,3.341085271,1.303797468
356,3.335714286,4.456043956,3.331950207,1.301204819
357,3.3203125,4.452380952,3.296,1.300884956
358,3.301492537,4.450617284,3.280701754,1.3
359,3.279620853,4.434782609,3.267924528,1.299065421
360,3.274336283,4.417391304,3.250847458,1.295238095
361,3.271468144,4.333333333,3.247443763,1.294117647
362,3.260504202,4.325,3.244680851,1.293577982
363,3.256756757,4.316326531,3.23,1.293333333
364,3.256532067,4.284210526,3.228070175,1.29245283
365,3.256,4.280373832,3.187943262,1.292079208
366,3.245231608,4.274193548,3.186234818,1.290909091
367,3.236933798,4.251968504,3.181146026,1.29047619
368,3.235555556,4.232876712,3.169411765,1.288659794
369,3.232352941,4.230088496,3.169291339,1.287234043
370,3.231372549,4.208333333,3.167192429,1.284210526
371,3.222580645,4.2,3.165467626,1.283783784
372,3.216450216,4.183206107,3.156769596,1.283333333
373,3.2,4.134328358,3.15234375,1.281818182
374,3.19047619,4.127659574,3.151291513,1.27826087
375,3.181481481,4.125,3.148148148,1.277777778
376,3.175732218,4.12,3.146496815,1.276595745
377,3.173553719,4.114864865,3.140794224,1.275862069
378,3.169082126,4.103448276,3.139285714,1.274074074
379,3.167701863,4.080952381,3.138211382,1.273684211
380,3.157480315,4.070175439,3.122529644,1.273381295
381,3.155844156,4.059139785,3.12007874,1.272727273
382,3.153846154,4.036363636,3.116935484,1.271317829
383,3.150234742,4,3.111111111,1.270386266
384,3.145658263,3.984,3.108823529,1.269430052
385,3.143203883,3.96713615,3.107784431,1.265957447
386,3.13317757,3.966666667,3.105555556,1.264423077
387,3.133064516,3.945454545,3.098236776,1.2625
388,3.128078818,3.889908257,3.09486166,1.255681818
389,3.124481328,3.881944444,3.093632959,1.251336898
390,3.118764846,3.863636364,3.085642317,1.25
391,3.115942029,3.859649123,3.079136691,1.25
392,3.115606936,3.859649123,3.073076923,1.25
393,3.112903226,3.857692308,3.066420664,1.24852071
394,3.109489051,3.850220264,3.066176471,1.244897959
395,3.107329843,3.841121495,3.061068702,1.244897959
396,3.099547511,3.831578947,3.051671733,1.24137931
397,3.085,3.829545455,3.033707865,1.239583333
398,3.083743842,3.824324324,3.030395137,1.236363636
399,3.077868852,3.822429907,3.007722008,1.236363636
400,3.067307692,3.814814815,3,1.235294118
401,3.060747664,3.777777778,3,1.230769231
402,3.050632911,3.764705882,2.996415771,1.228915663
403,3.041841004,3.739130435,2.993103448,1.228571429
404,3.023728814,3.731132075,2.98,1.223684211
405,3.020408163,3.719745223,2.971014493,1.222222222
406,3.019607843,3.709677419,2.970588235,1.222222222
407,3.017857143,3.691275168,2.970266041,1.221153846
408,3.012084592,3.677777778,2.965909091,1.211382114
409,3.00297619,3.672619048,2.962264151,1.210526316
410,3,3.661538462,2.957207207,1.209459459
411,2.993650794,3.657657658,2.95202952,1.208333333
412,2.981530343,3.628865979,2.943661972,1.20754717
413,2.978723404,3.613793103,2.94140625,1.20661157
414,2.948339483,3.59223301,2.928838951,1.204545455
415,2.947598253,3.576923077,2.927927928,1.202380952
